Black Adder,england,0,0,0,0,0
Black Albert,belgium,0,0,0,0,0
Black Bavarian,usa,0,0,0,0,0
Black Butte Porter,usa,0,0,0,0,0
Black Chocolate Stout,usa,0,0,0,0,0
Black Forest,usa,0,0,0,0,0
Black Gold Bourbon Imperial Stout,usa,0,0,0,0,0
Black Hawk Stout,usa,0,0,0,0,0
Black Oak Nut Brown Ale,canada,0,8,5,0,amber
Black Sand Porter,usa,0,0,0,0,0
Black Sheep Best Bitter,england,0,11,3.8,0,amber
Black Wattle Original Ale,autralia,0,6,5.8,0,amber
Blanche de Chambly,canada,0,0,0,0,0
Blanche de Saisis,belgium,0,0,0,0,0
Blanche des Honnelles,belgium,0,0,0,0,0
Blandford Fly,england,0,0,0,0,0
Blonde Doppelbock,usa,0,0,0,0,0
Blue Moon,usa,0,0,0,0,0
Bluetongue Traditional Pilsner,autralia,0,0,0,0,0
Bock Damm,spain,0,0,0,0,0
Bohemia Regent Prezident,czech_republic,0,0,0,0,0
Bohemian Wheat Lager,czech_republic,0,0,0,0,0
Boltens Ur-Alt,germany,0,8,4.9,0,amber
Bombay Pale Ale,denmark,0,5-10,6.5,0,amber
Bons Voeux,belgium,0,0,0,0,0
Boon Oude Geuze,belgium,0,0,0,0,0
Boon Oude Geuze Mariage Parfait,belgium,0,0,0,0,0
Boont Amber Ale,usa,0,7,5.8,0,amber
Boreale Blanche,canada,0,0,0,0,0
Borefts Stout,netherlands,0,0,0,0,0
Bourbon County Stout,usa,0,0,0,0,0
Brackie,poland,0,0,0,0,0
Brains Dark,wales,0,0,0,0,0
Brains SA,wales,0,11,4.2,0,amber
Brakspear Bitter,england,0,11-13,3.4,0,amber
Brakspear Triple,england,0,11-13,7.2,0,amber
BridgePort India Pale Ale,usa,0,10,5.5,0,amber
BridgePort Old Knucklehead,usa,0,13,9,0,amber
British Bulldog,england,0,7-10,4.3,0,amber
Brockton IPA,canada,0,0,0,0,0
Brodie’s Prime,england,0,0,0,0,0
Brokat Dark,slovakia,0,0,0,0,0
Brooklyn Lager,usa,0,8-9,5.2,0,amber
Brooklyn Local 1,usa,0,0,0,0,0
Brooklyner-Schneider Hopfen-Weisse,usa,0,0,0,0,0
Brother Thelonious,usa,0,0,0,0,0
Broughton Old Jock Ale,scotland,0,10-12,6.7,0,amber
Broughton Scottish Oatmeal Stout,scotland,0,0,0,0,0
Brugse Zot,belgium,0,0,0,0,0
Brunehaut St. Martin Blonde,belgium,0,0,0,0,0
Bud Super Strong,czech_republic,0,0,0,0,0
Buddy Marvellous,wales,0,11-12,4,0,amber
Budels Pilsener,netherlands,0,0,0,0,0
Budvar Svetly Lezak,czech_republic,0,0,0,0,0
Budweiser,usa,0,0,0,0,0
Budweiser Budvar Tmavy Lezak,czech_republic,0,0,0,0,0
Bush Ambree Triple,belgium,0,9-12,12,0,amber
Butcombe Gold,england,0,0,0,0,0
Caldera IPA,usa,0,10,6.1,0,amber
Caledonian 80,scotland,0,10,4.1,0,amber
Cane and Ebel,usa,0,10,7,0,amber
Cantillon Grand Cru Bruocsella,belgium,0,0,0,0,0
Cantillon Gueuze 100% Lambic Bio,belgium,0,0,0,0,0
Cantillon Iris,belgium,0,0,0,0,0
Cantillon Lou Pepe,belgium,0,0,0,0,0
Cantillon Rose De Gambrinus,belgium,0,0,0,0,0
Cascade Cuvee du Jongleur,belgium,0,0,0,0,0
Cascade Kriek Ale,usa,0,0,0,0,0
Cascade Stout,autralia,0,0,0,0,0
CascaZilla,usa,0,8,6.5,0,amber
Castle Lager,south_africa,0,0,0,0,0
Castle Milk Stout,south_africa,0,0,0,0,0
Celebration Ale,usa,0,9-13,6.8,0,amber
Celebrator,germany,0,0,0,0,0
Celis White,usa,0,0,0,0,0
Cerna Hora Granat,czech_republic,0,0,0,0,0
Ch’ti Ambree,france,0,8,5.9,0,amber
Ch’ti Blonde,france,0,0,0,0,0
Chang,thailand,0,0,0,0,0
Chimay Bleue,belgium,0,0,0,0,0
Chimay Triple/Chimay Cinq Cents,belgium,0,0,0,0,0
Chocarubbica,italy,0,0,0,0,0
Chodovar Zamecky Lezak Special,czech_republic,0,0,0,0,0
Chouffe N’ice,belgium,0,4-10,10,0,amber
Christmas Ale,autralia,0,8-12,7.5,0,amber
Christoffel Blond,netherlands,0,8-10,6.5,0,amber
Christoffel Bok,netherlands,0,0,0,0,0
Chyne Rauchbier,czech_republic,0,8,4,0,amber
Cisk Lager,malta,0,0,0,0,0
Clemens Ohne Filter,germany,0,8,5.4,0,amber
Clotworthy Dobbin,ireland do Norte,0,0,0,0,0
Coconut Porter,usa,0,0,0,0,0
Collaboration Not Litigation,usa,0,15,8.7,0,amber
Combined Harvest,england,0,12,4.7,0,amber
Commerzienrat Riegele Privat,germany,0,0,0,0,0
Consecration,usa,0,0,0,0,0
Coopers Best Extra Stout,autralia,0,0,0,0,0
Coopers Extra Strong Vintage Ale,autralia,0,0,0,0,0
Coopers Sparkling Ale,autralia,0,4,7.5,0,amber
Coreff Ambree,france,0,10,5,0,amber
Cornish Knocker,england,0,12,4.5,0,amber
Corsendonk Agnus Tripel,belgium,0,0,0,0,0
Cottonwood Pumpkin Spiced Ale,usa,0,0,0,0,0
Coup de Grisou,canada,0,0,0,0,0
Cucapa Barley Wine Ale,mexico,0,15,10,0,amber
Cucapa Chupacabras,mexico,0,7,5.8,0,amber
Cucapa Clasica,mexico,0,0,0,0,0
Curieux,usa,0,0,0,0,0
Cusquena,peru,0,0,0,0,0
Cusquena Malta,peru,0,0,0,0,0
Cutthroat Porter,usa,0,0,0,0,0
Cuvee de Tomme,usa,0,0,0,0,0
Cuvee des Jonquilles,france,0,0,0,0,0
D. Carnegie & Co. Porter,sweden,0,0,0,0,0
Dado Bier Belgian Ale,brazil,0,0,0,0,0
Dale’s Pale Ale,usa,0,13,6.5,0,amber
Dancing Camel Trog Wit,israel,0,0,0,0,0
Dark Force,norway,0,0,0,0,0
Dark Horizon,norway,0,0,0,0,0
Dark Island,scotland,0,0,0,0,0
Dark Lord,usa,0,0,0,0,0
Dau,italy,0,8-10,3.9,0,amber
De Cam Oude Kriek,belgium,0,0,0,0,0
De Koninck Amber,belgium,0,6-8,5,0,amber
Dead Guy Ale,usa,0,6-9,6.5,0,amber
Decadence,usa,0,0,0,0,0
Deep Water Doppelbock Lager,usa,0,0,0,0,0
Delirium Tremens,belgium,0,0,0,0,0
Demoiselle,brazil,0,0,0,0,0
Demon Hunter,italy,0,8-10,8.5,0,amber
Derniere Volonte,canada,0,0,0,0,0
Deuchars IPA,scotland,0,0,0,0,0
Deus,belgium,0,0,0,0,0
Devonshire 10’der’,england,0,0,0,0,0
Distelhauser Kristall-Weizen,germany,0,0,0,0,0
Doctor Okell’s IPA,isle_of_man,0,0,0,0,0
Dogbolter Dark Lager,autralia,0,0,0,0,0
Dogfish Head World Wide Stout,usa,0,0,0,0,0
Dom Kolsch,germany,0,0,0,0,0
Domaine DuPage,usa,0,4-7,5.9,0,amber
Dorothy Goodbody’s Wholesome Stout,england,0,0,0,0,0
Dortmunder Gold,usa,0,0,0,0,0
Dos Equis XX Amber,mexico,0,0,0,0,0
